"subj","condition","cause","vign","knowledge","outcome","norm"
"R_1rdoxOtIpMbE14a","MIG",5,6,"Ignorance","Good Outcome","Morality"
"R_3MsvDjJ00ZYLBt9","MIG",5,6,"Ignorance","Good Outcome","Morality"
"R_1rxixOkMAascXm4","MIG",4,6,"Ignorance","Good Outcome","Morality"
"R_C9bVRuRO9QwhgfT","MIG",3,6,"Ignorance","Good Outcome","Morality"
"R_1g0IwzbEJjwNJcd","MIG",5,6,"Ignorance","Good Outcome","Morality"
"R_3g11yW4pQXOGpPp","MIG",5,7,"Ignorance","Good Outcome","Morality"
"R_3mmD4DwZ5jzjlKd","MIG",6,7,"Ignorance","Good Outcome","Morality"
"R_1nOp86S07OpINY5","MIG",6,7,"Ignorance","Good Outcome","Morality"
"R_2cpVe54vh0S9WZf","MIG",5,7,"Ignorance","Good Outcome","Morality"
"R_2V8fHzkU1mlywu9","MIG",6,7,"Ignorance","Good Outcome","Morality"
"R_1gHDsO0nNiXRFFg","MIG",5,7,"Ignorance","Good Outcome","Morality"
"R_573ddSfN4F8ClSV","MIG",5,7,"Ignorance","Good Outcome","Morality"
"R_1duVPQxVjrpg2Hr","MIG",1,7,"Ignorance","Good Outcome","Morality"
"R_2380mvcuqN1cRUh","MIG",4,7,"Ignorance","Good Outcome","Morality"
"R_3lqC30GxdeQftW9","MIG",6,7,"Ignorance","Good Outcome","Morality"
"R_5irIPLM0AddGbOF","MIG",7,7,"Ignorance","Good Outcome","Morality"
"R_1N47ZfTDzalYlzj","MIG",4,7,"Ignorance","Good Outcome","Morality"
"R_78VfU8kqFbD46NH","MIG",4,7,"Ignorance","Good Outcome","Morality"
"R_2WGp2Bosxrgw2VO","MIG",5,7,"Ignorance","Good Outcome","Morality"
"R_yxzOHsuSvGtkZnr","MIG",5,7,"Ignorance","Good Outcome","Morality"
"R_3j7AZJBf7iTRT3T","MIG",3,7,"Ignorance","Good Outcome","Morality"
"R_suH1bjbj1tHQ2S5","MIG",6,7,"Ignorance","Good Outcome","Morality"
"R_Xt9CeQyvKvYkvDz","MIG",4,7,"Ignorance","Good Outcome","Morality"
"R_2qgY8D5Mcep6LSB","MIG",2,7,"Ignorance","Good Outcome","Morality"
"R_2WxnywwNuEbwNb4","MIG",1,7,"Ignorance","Good Outcome","Morality"
"R_1GZC3KjYRqvoYBs","MIG",7,7,"Ignorance","Good Outcome","Morality"
"R_pACj46av4J5QKkN","MIG",7,7,"Ignorance","Good Outcome","Morality"
"R_2wigNvn0TIaPKpA","MIG",4,7,"Ignorance","Good Outcome","Morality"
"R_2fJvf7yIhJls2DZ","MIG",2,7,"Ignorance","Good Outcome","Morality"
"R_zfnrBzDedic2vBL","MIG",4,7,"Ignorance","Good Outcome","Morality"
"R_2U4R9YVCRv7PyJx","MIG",7,7,"Ignorance","Good Outcome","Morality"
"R_2xPPT68ZD2cCdCh","MIG",4,7,"Ignorance","Good Outcome","Morality"
"R_1g0IwzbEJjwNJcd","MIG",4,7,"Ignorance","Good Outcome","Morality"
"R_qKmCIe2FmCFNE5P","MIG",5,8,"Ignorance","Good Outcome","Morality"
"R_0VNNCVZCualoZmV","MIG",6,8,"Ignorance","Good Outcome","Morality"
"R_wLT7EY2Znf0bqoh","MIG",4,8,"Ignorance","Good Outcome","Morality"
"R_2YVCOUZc8CMtApb","MIG",4,8,"Ignorance","Good Outcome","Morality"
"R_3MmM3XBJgTiSVic","MIG",6,8,"Ignorance","Good Outcome","Morality"
"R_1duVPQxVjrpg2Hr","MIG",7,8,"Ignorance","Good Outcome","Morality"
"R_2380mvcuqN1cRUh","MIG",3,8,"Ignorance","Good Outcome","Morality"
"R_3dXLUOIfVgHhCQP","MIG",3,8,"Ignorance","Good Outcome","Morality"
"R_aXWWVtQ1sWX7ail","MIG",5,8,"Ignorance","Good Outcome","Morality"
"R_3lqC30GxdeQftW9","MIG",2,8,"Ignorance","Good Outcome","Morality"
"R_2eUQEMUMLilr9Ek","MIG",7,8,"Ignorance","Good Outcome","Morality"
"R_1N47ZfTDzalYlzj","MIG",6,8,"Ignorance","Good Outcome","Morality"
"R_1luAilgwoFkZNmA","MIG",4,8,"Ignorance","Good Outcome","Morality"
"R_3MalcHq1NNn7AAH","MIG",3,8,"Ignorance","Good Outcome","Morality"
"R_3Mfhd6WAAqUsWK8","MIG",3,8,"Ignorance","Good Outcome","Morality"
"R_yQ2SypcIcQ3bz5T","MIG",4,8,"Ignorance","Good Outcome","Morality"
"R_3OesKoqEYrnf0Sr","MIG",7,8,"Ignorance","Good Outcome","Morality"
"R_5cANWUuRiP2hh3r","MIG",7,8,"Ignorance","Good Outcome","Morality"
"R_3fJDlF6Jqxk3bbP","MIG",3,8,"Ignorance","Good Outcome","Morality"
"R_yKKVqms1o43RESl","MIG",3,8,"Ignorance","Good Outcome","Morality"
"R_6QjEqNKOSz3crZL","MIG",7,8,"Ignorance","Good Outcome","Morality"
"R_3MSTrMek0UOMf7w","MIG",4,8,"Ignorance","Good Outcome","Morality"
"R_3MsvDjJ00ZYLBt9","MIG",5,8,"Ignorance","Good Outcome","Morality"
"R_3m9mguyut5qVssf","MIG",3,8,"Ignorance","Good Outcome","Morality"
"R_bIcyzXOO7YOhjhf","MIG",5,8,"Ignorance","Good Outcome","Morality"
"R_2xDAijuFkMHPdoi","MIG",3,8,"Ignorance","Good Outcome","Morality"
"R_3g11yW4pQXOGpPp","MIG",3,9,"Ignorance","Good Outcome","Morality"
"R_1N8HoWlcRZIXsjJ","MIG",4,9,"Ignorance","Good Outcome","Morality"
"R_3mmD4DwZ5jzjlKd","MIG",5,9,"Ignorance","Good Outcome","Morality"
"R_2X67qOw8iGlfQqf","MIG",1,9,"Ignorance","Good Outcome","Morality"
"R_2TGf9huZmz4U0g9","MIG",3,9,"Ignorance","Good Outcome","Morality"
"R_pDW7Z2tWXxf2hLH","MIG",7,9,"Ignorance","Good Outcome","Morality"
"R_1gHDsO0nNiXRFFg","MIG",4,9,"Ignorance","Good Outcome","Morality"
"R_2380mvcuqN1cRUh","MIG",2,9,"Ignorance","Good Outcome","Morality"
"R_9yr6t9nPRhklN9D","MIG",4,9,"Ignorance","Good Outcome","Morality"
"R_DNtis0P6aD6JcPL","MIG",7,9,"Ignorance","Good Outcome","Morality"
"R_1lg8l81mPP3UA5N","MIG",5,9,"Ignorance","Good Outcome","Morality"
"R_33peqeOkQZuNdyY","MIG",5,9,"Ignorance","Good Outcome","Morality"
"R_3oYrx7IsI9AizOA","MIG",5,9,"Ignorance","Good Outcome","Morality"
"R_3Mfhd6WAAqUsWK8","MIG",5,9,"Ignorance","Good Outcome","Morality"
"R_2azgkYkeDbPTA9w","MIG",4,9,"Ignorance","Good Outcome","Morality"
"R_2cCUKmBdoTRW3F8","MIG",7,9,"Ignorance","Good Outcome","Morality"
"R_3GoB7ViKQOlkkNF","MIG",6,9,"Ignorance","Good Outcome","Morality"
"R_xaS2TYW4sdIrBPr","MIG",7,9,"Ignorance","Good Outcome","Morality"
"R_2qgY8D5Mcep6LSB","MIG",1,9,"Ignorance","Good Outcome","Morality"
"R_1eQBbr1lnGQjYxo","MIG",7,9,"Ignorance","Good Outcome","Morality"
"R_0VpOup1evmpwxKp","MIG",3,9,"Ignorance","Good Outcome","Morality"
"R_Azh66rOWjniMsut","MIG",3,9,"Ignorance","Good Outcome","Morality"
"R_1Nh6HlaxDGH7Qiz","MIG",5,9,"Ignorance","Good Outcome","Morality"
"R_2fJvf7yIhJls2DZ","MIG",2,9,"Ignorance","Good Outcome","Morality"
"R_3F20Mg3DCzK3WoH","MIG",4,9,"Ignorance","Good Outcome","Morality"
"R_33dwpKJwhyNnADX","MIG",5,9,"Ignorance","Good Outcome","Morality"
"R_2qDXBSjg5oNXYG1","MIG",6,9,"Ignorance","Good Outcome","Morality"
"R_3ESXNYVv8yXkf1m","MIG",5,9,"Ignorance","Good Outcome","Morality"
"R_2uWnFWiclkxHsdR","MKB",5,1,"Knowledge","Bad Outcome","Morality"
"R_1nOp86S07OpINY5","MKB",7,1,"Knowledge","Bad Outcome","Morality"
"R_6f1F85QWuN84dqh","MKB",6,1,"Knowledge","Bad Outcome","Morality"
"R_2TsMSYrtevm9OTP","MKB",7,1,"Knowledge","Bad Outcome","Morality"
"R_2V8fHzkU1mlywu9","MKB",6,1,"Knowledge","Bad Outcome","Morality"
"R_R9VMB27bkUrh5Dz","MKB",4,1,"Knowledge","Bad Outcome","Morality"
"R_z5PEB1oupEy4pYB","MKB",5,1,"Knowledge","Bad Outcome","Morality"
"R_3GiYtsszDP6zp4O","MKB",7,1,"Knowledge","Bad Outcome","Morality"
"R_1Gy4qLlgNT8TLyi","MKB",2,1,"Knowledge","Bad Outcome","Morality"
"R_1NgKUH4AHEmZYzc","MKB",7,1,"Knowledge","Bad Outcome","Morality"
"R_3kp02971JVVc840","MKB",3,1,"Knowledge","Bad Outcome","Morality"
"R_1N47ZfTDzalYlzj","MKB",7,1,"Knowledge","Bad Outcome","Morality"
"R_78VfU8kqFbD46NH","MKB",7,1,"Knowledge","Bad Outcome","Morality"
"R_1Pd6NnGURFCmKUa","MKB",5,1,"Knowledge","Bad Outcome","Morality"
"R_3CCzfCWYIBuIdAJ","MKB",7,1,"Knowledge","Bad Outcome","Morality"
"R_2zjVqumrDknmrfN","MKB",3,1,"Knowledge","Bad Outcome","Morality"
"R_3j7AZJBf7iTRT3T","MKB",5,1,"Knowledge","Bad Outcome","Morality"
"R_3CJaOFELGTzHaCF","MKB",7,1,"Knowledge","Bad Outcome","Morality"
"R_3fJDlF6Jqxk3bbP","MKB",2,1,"Knowledge","Bad Outcome","Morality"
"R_b33zNyLFaa8PeH7","MKB",3,1,"Knowledge","Bad Outcome","Morality"
"R_2wigNvn0TIaPKpA","MKB",1,1,"Knowledge","Bad Outcome","Morality"
"R_Azh66rOWjniMsut","MKB",5,1,"Knowledge","Bad Outcome","Morality"
"R_3F20Mg3DCzK3WoH","MKB",4,1,"Knowledge","Bad Outcome","Morality"
"R_WewcJEbGnNM4e6B","MKB",4,1,"Knowledge","Bad Outcome","Morality"
"R_3m9mguyut5qVssf","MKB",5,1,"Knowledge","Bad Outcome","Morality"
"R_3ESXNYVv8yXkf1m","MKB",4,1,"Knowledge","Bad Outcome","Morality"
"R_8tR9nf8utuGhHJD","MKB",1,10,"Knowledge","Bad Outcome","Morality"
"R_pDW7Z2tWXxf2hLH","MKB",1,10,"Knowledge","Bad Outcome","Morality"
"R_24B5lPuhJV6qo7q","MKB",7,10,"Knowledge","Bad Outcome","Morality"
"R_2YVCOUZc8CMtApb","MKB",1,10,"Knowledge","Bad Outcome","Morality"
"R_qK6xk189C9FtaeZ","MKB",5,10,"Knowledge","Bad Outcome","Morality"
"R_1MLDOOhzfY2qI4w","MKB",5,10,"Knowledge","Bad Outcome","Morality"
"R_xyK9eEn7VQCIaEV","MKB",7,10,"Knowledge","Bad Outcome","Morality"
"R_29mlIvWykbwXCnM","MKB",3,10,"Knowledge","Bad Outcome","Morality"
"R_3iCmGjxhdopXlJt","MKB",3,10,"Knowledge","Bad Outcome","Morality"
"R_1QYrsywNCa55XuV","MKB",2,10,"Knowledge","Bad Outcome","Morality"
"R_78VfU8kqFbD46NH","MKB",4,10,"Knowledge","Bad Outcome","Morality"
"R_ZHTuiqOszhDFxFn","MKB",5,10,"Knowledge","Bad Outcome","Morality"
"R_6RVVURvFODNlQVH","MKB",7,10,"Knowledge","Bad Outcome","Morality"
"R_1CCkGU6sX8tUFhZ","MKB",3,10,"Knowledge","Bad Outcome","Morality"
"R_dasRi2FWsgVJdZL","MKB",2,10,"Knowledge","Bad Outcome","Morality"
"R_3EAAd5eCI3Wdlp1","MKB",1,10,"Knowledge","Bad Outcome","Morality"
"R_1CBLxsYVIDAFOU0","MKB",6,10,"Knowledge","Bad Outcome","Morality"
"R_1eQBbr1lnGQjYxo","MKB",7,10,"Knowledge","Bad Outcome","Morality"
"R_2t9Y0p92WF9V0y8","MKB",6,10,"Knowledge","Bad Outcome","Morality"
"R_2TyPGY4bYpdrotX","MKB",5,10,"Knowledge","Bad Outcome","Morality"
"R_3D7m5svTQZjuPX5","MKB",1,10,"Knowledge","Bad Outcome","Morality"
"R_2qjuUL2StXvHGf5","MKB",4,10,"Knowledge","Bad Outcome","Morality"
"R_1Nh6HlaxDGH7Qiz","MKB",5,10,"Knowledge","Bad Outcome","Morality"
"R_1rdoxOtIpMbE14a","MKB",5,10,"Knowledge","Bad Outcome","Morality"
"R_2uEBUl8vW42ckPv","MKB",5,10,"Knowledge","Bad Outcome","Morality"
"R_3Hwx2ra4pPW9tvd","MKB",4,10,"Knowledge","Bad Outcome","Morality"
"R_1lzMCnWGOUieQV1","MKB",4,10,"Knowledge","Bad Outcome","Morality"
"R_1hT0EDXw3S1Bg02","MKB",4,11,"Knowledge","Bad Outcome","Morality"
"R_2SGlBy7b05SaXmr","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_2YVCOUZc8CMtApb","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_qK6xk189C9FtaeZ","MKB",5,11,"Knowledge","Bad Outcome","Morality"
"R_XoxXTgu2TAUvCNj","MKB",7,11,"Knowledge","Bad Outcome","Morality"
"R_31ivQ3pcdPTpctX","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_xyK9eEn7VQCIaEV","MKB",7,11,"Knowledge","Bad Outcome","Morality"
"R_3HouVtrG4MHmstv","MKB",7,11,"Knowledge","Bad Outcome","Morality"
"R_1nO57m94xGmCJ2B","MKB",2,11,"Knowledge","Bad Outcome","Morality"
"R_3IaQV5yvHu8Kxyk","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_1U1uc4X0ucl9Mat","MKB",4,11,"Knowledge","Bad Outcome","Morality"
"R_2BmTk2b9tDRS4j0","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_5irIPLM0AddGbOF","MKB",7,11,"Knowledge","Bad Outcome","Morality"
"R_78VfU8kqFbD46NH","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_3MalcHq1NNn7AAH","MKB",7,11,"Knowledge","Bad Outcome","Morality"
"R_3Mfhd6WAAqUsWK8","MKB",5,11,"Knowledge","Bad Outcome","Morality"
"R_2azgkYkeDbPTA9w","MKB",7,11,"Knowledge","Bad Outcome","Morality"
"R_yxzOHsuSvGtkZnr","MKB",7,11,"Knowledge","Bad Outcome","Morality"
"R_3j7AZJBf7iTRT3T","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_0VpOup1evmpwxKp","MKB",4,11,"Knowledge","Bad Outcome","Morality"
"R_2pRnwxbt0bDbkCQ","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_b33zNyLFaa8PeH7","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_3OiR0Od33MuZNhg","MKB",7,11,"Knowledge","Bad Outcome","Morality"
"R_3F20Mg3DCzK3WoH","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_1OSPICcw1kOcu8x","MKB",7,11,"Knowledge","Bad Outcome","Morality"
"R_1rxixOkMAascXm4","MKB",5,11,"Knowledge","Bad Outcome","Morality"
"R_2Xhdc4njFbGcgew","MKB",6,11,"Knowledge","Bad Outcome","Morality"
"R_3ESXNYVv8yXkf1m","MKB",5,11,"Knowledge","Bad Outcome","Morality"
"R_3kCm8jrQRAMR7k5","MKB",7,12,"Knowledge","Bad Outcome","Morality"
"R_Ab2xg2MwPtJ2uNr","MKB",6,12,"Knowledge","Bad Outcome","Morality"
"R_sBxLDEtrhuhNhHr","MKB",7,12,"Knowledge","Bad Outcome","Morality"
"R_qK6xk189C9FtaeZ","MKB",5,12,"Knowledge","Bad Outcome","Morality"
"R_31ivQ3pcdPTpctX","MKB",7,12,"Knowledge","Bad Outcome","Morality"
"R_1nO57m94xGmCJ2B","MKB",4,12,"Knowledge","Bad Outcome","Morality"
"R_1U1uc4X0ucl9Mat","MKB",3,12,"Knowledge","Bad Outcome","Morality"
"R_PNyINuWCdwhp6jn","MKB",3,12,"Knowledge","Bad Outcome","Morality"
"R_u3mZgdE5EmlnFyp","MKB",7,12,"Knowledge","Bad Outcome","Morality"
"R_29mlIvWykbwXCnM","MKB",5,12,"Knowledge","Bad Outcome","Morality"
"R_3iCmGjxhdopXlJt","MKB",5,12,"Knowledge","Bad Outcome","Morality"
"R_3kp02971JVVc840","MKB",7,12,"Knowledge","Bad Outcome","Morality"
"R_1luAilgwoFkZNmA","MKB",5,12,"Knowledge","Bad Outcome","Morality"
"R_2v7aWFNvkA7EDQ8","MKB",7,12,"Knowledge","Bad Outcome","Morality"
"R_2zoP3J0cHCiesGg","MKB",5,12,"Knowledge","Bad Outcome","Morality"
"R_2dLp2F09dt3Hyb8","MKB",4,12,"Knowledge","Bad Outcome","Morality"
"R_bmvHIpDeKEtK8Ct","MKB",7,12,"Knowledge","Bad Outcome","Morality"
"R_2TyPGY4bYpdrotX","MKB",4,12,"Knowledge","Bad Outcome","Morality"
"R_0fDcI1J6tmbWSNX","MKB",5,12,"Knowledge","Bad Outcome","Morality"
"R_3OiR0Od33MuZNhg","MKB",6,12,"Knowledge","Bad Outcome","Morality"
"R_Azh66rOWjniMsut","MKB",5,12,"Knowledge","Bad Outcome","Morality"
"R_6QjEqNKOSz3crZL","MKB",7,12,"Knowledge","Bad Outcome","Morality"
"R_1qg13sW0PSdwwpT","MKB",6,12,"Knowledge","Bad Outcome","Morality"
"R_3m9mguyut5qVssf","MKB",7,12,"Knowledge","Bad Outcome","Morality"
"R_3Hwx2ra4pPW9tvd","MKB",5,12,"Knowledge","Bad Outcome","Morality"
"R_1lzMCnWGOUieQV1","MKB",4,12,"Knowledge","Bad Outcome","Morality"
"R_3ESXNYVv8yXkf1m","MKB",5,12,"Knowledge","Bad Outcome","Morality"
"R_2cpVe54vh0S9WZf","MKB",6,13,"Knowledge","Bad Outcome","Morality"
"R_1OxBc5JRpdsUWJI","MKB",6,13,"Knowledge","Bad Outcome","Morality"
"R_XoxXTgu2TAUvCNj","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_31ivQ3pcdPTpctX","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_2a9cjKqSNhYEDUJ","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_9yr6t9nPRhklN9D","MKB",4,13,"Knowledge","Bad Outcome","Morality"
"R_31G8XueDJF9CjL8","MKB",4,13,"Knowledge","Bad Outcome","Morality"
"R_1nO57m94xGmCJ2B","MKB",6,13,"Knowledge","Bad Outcome","Morality"
"R_3IaQV5yvHu8Kxyk","MKB",6,13,"Knowledge","Bad Outcome","Morality"
"R_zSxiX6h0F32Hbix","MKB",6,13,"Knowledge","Bad Outcome","Morality"
"R_aXWWVtQ1sWX7ail","MKB",3,13,"Knowledge","Bad Outcome","Morality"
"R_ymfgN6eeC2D56Qp","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_3oYrx7IsI9AizOA","MKB",4,13,"Knowledge","Bad Outcome","Morality"
"R_2v7aWFNvkA7EDQ8","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_2azgkYkeDbPTA9w","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_2cCUKmBdoTRW3F8","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_2zT3UUy5D33yoS9","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_1CBLxsYVIDAFOU0","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_suH1bjbj1tHQ2S5","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_b33zNyLFaa8PeH7","MKB",6,13,"Knowledge","Bad Outcome","Morality"
"R_27erXg8m0NLzg4G","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_Rnb4jHDN9SMgRFf","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_3OiR0Od33MuZNhg","MKB",6,13,"Knowledge","Bad Outcome","Morality"
"R_9MmObpWUX0vXmxT","MKB",6,13,"Knowledge","Bad Outcome","Morality"
"R_1qg13sW0PSdwwpT","MKB",6,13,"Knowledge","Bad Outcome","Morality"
"R_24vLPNyi9ZP5BYI","MKB",6,13,"Knowledge","Bad Outcome","Morality"
"R_1FfHAYQzuH8l6rT","MKB",7,13,"Knowledge","Bad Outcome","Morality"
"R_1N8HoWlcRZIXsjJ","MKB",7,14,"Knowledge","Bad Outcome","Morality"
"R_8tR9nf8utuGhHJD","MKB",4,14,"Knowledge","Bad Outcome","Morality"
"R_2QhMoGlC9lopDQi","MKB",4,14,"Knowledge","Bad Outcome","Morality"
"R_1otElFglT4OlsWj","MKB",4,14,"Knowledge","Bad Outcome","Morality"
"R_1MLDOOhzfY2qI4w","MKB",5,14,"Knowledge","Bad Outcome","Morality"
"R_1duVPQxVjrpg2Hr","MKB",7,14,"Knowledge","Bad Outcome","Morality"
"R_9yr6t9nPRhklN9D","MKB",4,14,"Knowledge","Bad Outcome","Morality"
"R_1JLsL4KtG3SCGHn","MKB",6,14,"Knowledge","Bad Outcome","Morality"
"R_ah0IF43LPgzk95D","MKB",4,14,"Knowledge","Bad Outcome","Morality"
"R_1Gy4qLlgNT8TLyi","MKB",7,14,"Knowledge","Bad Outcome","Morality"
"R_2eUQEMUMLilr9Ek","MKB",7,14,"Knowledge","Bad Outcome","Morality"
"R_ymfgN6eeC2D56Qp","MKB",4,14,"Knowledge","Bad Outcome","Morality"
"R_2P7QDiuiHXWKyHb","MKB",6,14,"Knowledge","Bad Outcome","Morality"
"R_1NyKhqJUXO4bp6s","MKB",5,14,"Knowledge","Bad Outcome","Morality"
"R_1FrXc9PHBSpw9oq","MKB",6,14,"Knowledge","Bad Outcome","Morality"
"R_dasRi2FWsgVJdZL","MKB",7,14,"Knowledge","Bad Outcome","Morality"
"R_123Y1lNiyTGvkuR","MKB",6,14,"Knowledge","Bad Outcome","Morality"
"R_T0Bb72ebhwrqdTH","MKB",4,14,"Knowledge","Bad Outcome","Morality"
"R_5cANWUuRiP2hh3r","MKB",5,14,"Knowledge","Bad Outcome","Morality"
"R_2TyPGY4bYpdrotX","MKB",2,14,"Knowledge","Bad Outcome","Morality"
"R_2qjuUL2StXvHGf5","MKB",5,14,"Knowledge","Bad Outcome","Morality"
"R_r6bVJxiBs4nFcB3","MKB",5,14,"Knowledge","Bad Outcome","Morality"
"R_1rdoxOtIpMbE14a","MKB",3,14,"Knowledge","Bad Outcome","Morality"
"R_33dwpKJwhyNnADX","MKB",5,14,"Knowledge","Bad Outcome","Morality"
"R_24vLPNyi9ZP5BYI","MKB",7,14,"Knowledge","Bad Outcome","Morality"
"R_1lzMCnWGOUieQV1","MKB",4,14,"Knowledge","Bad Outcome","Morality"
"R_1hT0EDXw3S1Bg02","MKB",4,15,"Knowledge","Bad Outcome","Morality"
"R_2qEIhW1LJLQ4mbV","MKB",3,15,"Knowledge","Bad Outcome","Morality"
"R_sXamn1JkfIs4AIV","MKB",2,15,"Knowledge","Bad Outcome","Morality"
"R_2TZusYTZNboEc5A","MKB",7,15,"Knowledge","Bad Outcome","Morality"
"R_24B5lPuhJV6qo7q","MKB",7,15,"Knowledge","Bad Outcome","Morality"
"R_0VNNCVZCualoZmV","MKB",5,15,"Knowledge","Bad Outcome","Morality"
"R_2TpkjesdjLIBiWw","MKB",7,15,"Knowledge","Bad Outcome","Morality"
"R_wLT7EY2Znf0bqoh","MKB",7,15,"Knowledge","Bad Outcome","Morality"
"R_1MLDOOhzfY2qI4w","MKB",6,15,"Knowledge","Bad Outcome","Morality"
"R_PNyINuWCdwhp6jn","MKB",6,15,"Knowledge","Bad Outcome","Morality"
"R_1QYrsywNCa55XuV","MKB",1,15,"Knowledge","Bad Outcome","Morality"
"R_1lg8l81mPP3UA5N","MKB",7,15,"Knowledge","Bad Outcome","Morality"
"R_3CCzfCWYIBuIdAJ","MKB",7,15,"Knowledge","Bad Outcome","Morality"
"R_3Mfhd6WAAqUsWK8","MKB",6,15,"Knowledge","Bad Outcome","Morality"
"R_2zT3UUy5D33yoS9","MKB",6,15,"Knowledge","Bad Outcome","Morality"
"R_2dLp2F09dt3Hyb8","MKB",6,15,"Knowledge","Bad Outcome","Morality"
"R_bmvHIpDeKEtK8Ct","MKB",7,15,"Knowledge","Bad Outcome","Morality"
"R_suH1bjbj1tHQ2S5","MKB",7,15,"Knowledge","Bad Outcome","Morality"
"R_3hcDhtRRJvUxHMi","MKB",6,15,"Knowledge","Bad Outcome","Morality"
"R_0VpOup1evmpwxKp","MKB",4,15,"Knowledge","Bad Outcome","Morality"
"R_27erXg8m0NLzg4G","MKB",5,15,"Knowledge","Bad Outcome","Morality"
"R_yKKVqms1o43RESl","MKB",5,15,"Knowledge","Bad Outcome","Morality"
"R_3F20Mg3DCzK3WoH","MKB",5,15,"Knowledge","Bad Outcome","Morality"
"R_zfnrBzDedic2vBL","MKB",5,15,"Knowledge","Bad Outcome","Morality"
"R_3Hwx2ra4pPW9tvd","MKB",5,15,"Knowledge","Bad Outcome","Morality"
"R_2Xhdc4njFbGcgew","MKB",4,15,"Knowledge","Bad Outcome","Morality"
"R_6f1F85QWuN84dqh","MKB",4,16,"Knowledge","Bad Outcome","Morality"
"R_qKmCIe2FmCFNE5P","MKB",4,16,"Knowledge","Bad Outcome","Morality"
"R_2tsr3IMZZZmu8j7","MKB",2,16,"Knowledge","Bad Outcome","Morality"
"R_xz1atBjzqASxMQx","MKB",2,16,"Knowledge","Bad Outcome","Morality"
"R_1gHDsO0nNiXRFFg","MKB",6,16,"Knowledge","Bad Outcome","Morality"
"R_2a9cjKqSNhYEDUJ","MKB",1,16,"Knowledge","Bad Outcome","Morality"
"R_31G8XueDJF9CjL8","MKB",2,16,"Knowledge","Bad Outcome","Morality"
"R_C78K8ShmVgH6Ekp","MKB",5,16,"Knowledge","Bad Outcome","Morality"
"R_1FRKZlXVbMODAJ0","MKB",3,16,"Knowledge","Bad Outcome","Morality"
"R_3dXLUOIfVgHhCQP","MKB",1,16,"Knowledge","Bad Outcome","Morality"
"R_3kwbWTV6WYeXiRJ","MKB",1,16,"Knowledge","Bad Outcome","Morality"
"R_3GiYtsszDP6zp4O","MKB",4,16,"Knowledge","Bad Outcome","Morality"
"R_2eUQEMUMLilr9Ek","MKB",1,16,"Knowledge","Bad Outcome","Morality"
"R_2WGp2Bosxrgw2VO","MKB",6,16,"Knowledge","Bad Outcome","Morality"
"R_3en13rtohCNzfdm","MKB",4,16,"Knowledge","Bad Outcome","Morality"
"R_3MalcHq1NNn7AAH","MKB",4,16,"Knowledge","Bad Outcome","Morality"
"R_2zT3UUy5D33yoS9","MKB",7,16,"Knowledge","Bad Outcome","Morality"
"R_3j7AZJBf7iTRT3T","MKB",4,16,"Knowledge","Bad Outcome","Morality"
"R_3OesKoqEYrnf0Sr","MKB",7,16,"Knowledge","Bad Outcome","Morality"
"R_3fJDlF6Jqxk3bbP","MKB",1,16,"Knowledge","Bad Outcome","Morality"
"R_1GZC3KjYRqvoYBs","MKB",4,16,"Knowledge","Bad Outcome","Morality"
"R_27erXg8m0NLzg4G","MKB",5,16,"Knowledge","Bad Outcome","Morality"
"R_3OiR0Od33MuZNhg","MKB",4,16,"Knowledge","Bad Outcome","Morality"
"R_3MSTrMek0UOMf7w","MKB",4,16,"Knowledge","Bad Outcome","Morality"
"R_1OSPICcw1kOcu8x","MKB",3,16,"Knowledge","Bad Outcome","Morality"
"R_1rxixOkMAascXm4","MKB",5,16,"Knowledge","Bad Outcome","Morality"
"R_1FfHAYQzuH8l6rT","MKB",2,16,"Knowledge","Bad Outcome","Morality"
"R_3g11yW4pQXOGpPp","MKB",5,2,"Knowledge","Bad Outcome","Morality"
"R_3Ed5IerPwhQJPn8","MKB",5,2,"Knowledge","Bad Outcome","Morality"
