"subj","question","condition","response","vign","knowledge","outcome","norm"
"","rational","RKG",1,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,2,"Knowledge","Good Outcome","Rationality"
"3","rational","RKG",5,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,2,"Knowledge","Good Outcome","Rationality"
"1","rational","RKG",5,2,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"5","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,3,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",2,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"8","rational","RKG",3,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,3,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,4,"Knowledge","Good Outcome","Rationality"
"3","rational","RKG",6,4,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",7,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,4,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,5,"Knowledge","Good Outcome","Rationality"
"3","rational","RKG",1,5,"Knowledge","Good Outcome","Rationality"
"1","rational","RKG",6,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,5,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",7,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,5,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"1","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"8","rational","RKG",4,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"8","rational","RKG",5,6,"Knowledge","Good Outcome","Rationality"
"5","rational","RKG",6,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,6,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,7,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",7,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,7,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",7,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,7,"Knowledge","Good Outcome","Rationality"
"4","rational","RKG",4,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,7,"Knowledge","Good Outcome","Rationality"
"4","rational","RKG",5,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,7,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,8,"Knowledge","Good Outcome","Rationality"
"4","rational","RKG",6,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,8,"Knowledge","Good Outcome","Rationality"
"8","rational","RKG",5,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,8,"Knowledge","Good Outcome","Rationality"
"3","rational","RKG",6,8,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",6,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,8,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"5","rational","RKG",3,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,9,"Knowledge","Good Outcome","Rationality"
"8","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",2,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"4","rational","RKG",2,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,9,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,9,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",5,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,10,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",5,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,10,"Knowledge","Good Outcome","Rationality"
"8","rational","RKG",6,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,10,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,11,"Knowledge","Good Outcome","Rationality"
"5","rational","RKG",3,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,11,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",1,11,"Knowledge","Good Outcome","Rationality"
"1","rational","RKG",5,11,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,12,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,13,"Knowledge","Good Outcome","Rationality"
"8","rational","RKG",4,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,13,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",6,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,13,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,14,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",1,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,14,"Knowledge","Good Outcome","Rationality"
"8","rational","RKG",1,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,14,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",7,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,14,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,15,"Knowledge","Good Outcome","Rationality"
"4","rational","RKG",3,15,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",1,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,15,"Knowledge","Good Outcome","Rationality"
"3","rational","RKG",4,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,15,"Knowledge","Good Outcome","Rationality"
"1","rational","RKG",4,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,15,"Knowledge","Good Outcome","Rationality"
"8","rational","RKG",5,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,15,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,16,"Knowledge","Good Outcome","Rationality"
"5","rational","RKG",3,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",3,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",7,16,"Knowledge","Good Outcome","Rationality"
"4","rational","RKG",5,16,"Knowledge","Good Outcome","Rationality"
"6","rational","RKG",7,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",5,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",2,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",1,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",4,16,"Knowledge","Good Outcome","Rationality"
"","rational","RKG",6,16,"Knowledge","Good Outcome","Rationality"
"R_1hFpJO86VERnx5F","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_yQ5aBury4JVYJY5","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_1hSz0Jm1UlkYLv3","moral","RIG",4,1,"Ignorance","Good Outcome","Rationality"
"R_DSqMywX85A4m4wN","moral","RIG",2,1,"Ignorance","Good Outcome","Rationality"
"R_2E5nKKuoxcOOe55","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_O9l03sKDyYPQR1L","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_becyCsTdXEcUuU9","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_V4J6BIXwRTnACBj","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_UMFIGTr6BLH2Qal","moral","RIG",7,1,"Ignorance","Good Outcome","Rationality"
"R_1nUCbhkBuDSPQZb","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_2AYi3BxnEZfqpZK","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_1OBnPYMt6qgk5bm","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_3nfrl4lwiRmjrbK","moral","RIG",2,1,"Ignorance","Good Outcome","Rationality"
"R_XXS7n0tnh79dTe9","moral","RIG",2,1,"Ignorance","Good Outcome","Rationality"
"R_129EicnzW5N4gT2","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_1QF5ePps1pJim3v","moral","RIG",4,1,"Ignorance","Good Outcome","Rationality"
"R_xbICNVUV6i3EwSd","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_12FH9deST9sEEEp","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_2c1T9PYxBKcBRzv","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_Y3URb6BAYWwxw8F","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_2fBaVreqDqBruXh","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_12liuamNAMTTASg","moral","RIG",2,1,"Ignorance","Good Outcome","Rationality"
"R_3NWoJHQmhRAQrD8","moral","RIG",7,1,"Ignorance","Good Outcome","Rationality"
"R_1I6IiMnHYC4bc9o","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_3hbCIAeeJzdgmjJ","moral","RIG",1,1,"Ignorance","Good Outcome","Rationality"
"R_DdZydKsZFZ7vRkd","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_1hFpJO86VERnx5F","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_yQ5aBury4JVYJY5","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_3sslnUcV4zywwDd","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_3O6PqNPMCugLmgh","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_10CLRuXIHceFlgX","moral","RIG",4,2,"Ignorance","Good Outcome","Rationality"
"R_ddtrIMnLNIrCHbX","moral","RIG",5,2,"Ignorance","Good Outcome","Rationality"
"R_1pAI15UyGZ5zq21","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_UGUiTpKFBX58nqV","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_27eRaPtZVEaHpMy","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_3012Nf3o7r10OSk","moral","RIG",4,2,"Ignorance","Good Outcome","Rationality"
"R_1rPIB8J29JnErnm","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_2rjxr15Kg7PYtwv","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_3dEoUSu6qECFvKn","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_urYr3uwPboDvrtD","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_2dyzltpiZ1UPAWU","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
"R_1HqI9csHbUabml7","moral","RIG",1,2,"Ignorance","Good Outcome","Rationality"
